epoch,loss
0,1318453.5637702432
1,238752.20596505725
2,174235.47301841466
3,167436.66455527087
4,160656.08702498616
5,157010.43512580296
6,154885.55719635394
7,153419.66781408835
8,152235.73263839513
9,151068.5130874644
10,149620.12394161228
11,147456.52948601282
12,144139.72281899475
13,139975.08335691196
14,136110.8725975098
15,133094.46136278758
16,130790.4854403917
17,128981.63905525362
18,127533.89588624933
19,126388.2249586112
20,125508.0284181249
21,124852.43056329126
22,124375.53566703598
23,124033.74902660315
24,123790.70249368582
25,123618.26249851617
26,123495.57506077358
27,123407.58257147614
28,123343.59267199265
29,123296.16016741992
30,123260.16668607251
31,123232.10731724897
32,123209.60418877828
33,123191.07234930307
34,123175.47841221305
35,123162.15104367334
36,123150.62879298402
37,123140.5587693987
38,123131.65340651905
39,123123.68105281123
40,123116.4607724707
41,123109.85121559292
42,123103.73890436176
43,123098.03149257394
44,123092.65448591596
45,123087.54814431573
46,123082.66424099302
47,123077.96358299722
48,123073.41473391632
49,123068.99362840774
50,123064.682974959
51,123060.47085667907
52,123056.34907487585
53,123052.31160030613
54,123048.35333061047
55,123044.46949488008
56,123040.6556188859
57,123036.90766797871
58,123033.22217148881
59,123029.59631528577
60,123026.02797120278
61,123022.51561601022
62,123019.05816910537
63,123015.65484814561
64,123012.30511583552
65,123009.00871407201
66,123005.76572790169
67,123002.57661948656
68,122999.44220391127
69,122996.36356482562
70,122993.34192671809
71,122990.37851380011
72,122987.47443096909
73,122984.63059000687
74,122981.84768644726
75,122979.12621762654
76,122976.4665256228
77,122973.86885109908
78,122971.333387022
79,122968.86032325066
80,122966.4498724575
81,122964.10226760393
82,122961.81772531208
83,122959.59637870821
84,122957.43819662658
85,122955.34291418221
86,122953.30999539494
87,122951.33863452767
88,122949.42778869155
89,122947.57622908999
90,122945.78260178326
91,122944.04547251559
92,122942.36334785825
93,122940.73470418558
94,122939.1580078519
95,122937.63172697484
96,122936.15433776822
97,122934.72432830452
98,122933.34020132979
99,122932.00048083047
100,122930.70371904616
101,122929.44849241934
102,122928.23341473476
103,122927.05713900644
104,122925.91833660613
105,122924.81570387342
106,122923.74795738791
107,122922.71383519468
108,122921.7120699231
109,122920.74139943697
110,122919.8005887889
111,122918.88843608338
112,122918.00376460997
113,122917.14540523458
114,122916.31222543694
115,122915.50313762903
116,122914.71707956697
117,122913.95302657173
118,122913.20999230917
119,122912.48702649416
120,122911.7832247363
121,122911.09773164516
122,122910.42973526384
123,122909.77844116802
124,122909.1430834264
125,122908.52293627225
126,122907.91730932472
127,122907.32554105722
128,122906.74699673682
129,122906.18106813464
130,122905.62718168959
131,122905.08479394128
132,122904.55338001453
133,122904.03243272495
134,122903.52146292292
135,122903.02000209775
136,122902.52760219292
137,122902.04383439747
138,122901.56828827936
139,122901.10057029576
140,122900.64030410637
141,122900.18713093709
142,122899.74070590203
143,122899.30069469521
144,122898.86679255497
145,122898.43870488163
146,122898.01614182933
147,122897.59882869611
148,122897.18650499424
149,122896.77892036986
150,122896.37583519715
151,122895.97702006272
152,122895.58225407747
153,122895.19132412333
154,122894.804023487
155,122894.42015082955
156,122894.03950923638
157,122893.66190542241
158,122893.28714907526
159,122892.9150524057
160,122892.54542972756
161,122892.17809704885
162,122891.81287316738
163,122891.44958212871
164,122891.08804904092
165,122890.72810031465
166,122890.36956723589
167,122890.01228619037
168,122889.65609646084
169,122889.30084099596
170,122888.94636674323
171,122888.59252599542
172,122888.2391753339
173,122887.88617478887
174,122887.53338846627
175,122887.18068459534
176,122886.82793532072
177,122886.47501648683
178,122886.12180744417
179,122885.76819087737
180,122885.41405264214
181,122885.05928160474
182,122884.70376949346
183,122884.34741076194
184,122883.99010247935
185,122883.63174424747
186,122883.27223813285
187,122882.91148858788
188,122882.54940240539
189,122882.18588871312
190,122881.82085896804
191,122881.45422695742
192,122881.08590881707
193,122880.71582304225
194,122880.34389055366
195,122879.9700347612
196,122879.59418159554
197,122879.21625953466
198,122878.83619969954
199,122878.45393596835
200,122878.06940498544
201,122877.68254624761
202,122877.29330220097
203,122876.90161832092
204,122876.5074431924
205,122876.11072858976
206,122875.71142956012
207,122875.3095045032
208,122874.90491525094
209,122874.49762714506
210,122874.08760910656
211,122873.67483370315
212,122873.25927720881
213,122872.84091966694
214,122872.41974495829
215,122871.99574083039
216,122871.56889887612
217,122871.1392145472
218,122870.70668722
219,122870.27132020557
220,122869.83312067093
221,122869.39209959019
222,122868.94827172736
223,122868.50165560197
224,122868.05227343642
225,122867.60015107886
226,122867.14531794077
227,122866.68780694093
228,122866.2276544221
229,122865.76490008897
230,122865.29958696698
231,122864.8317613689
232,122864.36147283952
233,122863.88877406392
234,122863.41372076818
235,122862.93637165955
236,122862.45678837779
237,122861.9750354337
238,122861.49118013457
239,122861.00529251054
240,122860.5174452364
241,122860.027713554
242,122859.5361751724
243,122859.04291016865
244,122858.54800090687
245,122858.05153195046
246,122857.55358993741
247,122857.05426344604
248,122856.55364289574
249,122856.05182045947
250,122855.54888995482
251,122855.04494669598
252,122854.5400873303
253,122854.03440970468
254,122853.5280127483
255,122853.02099634297
256,122852.51346117542
257,122852.00550856964
258,122851.497240309
259,122850.98875845881
260,122850.48016517976
261,122849.97156253901
262,122849.46305231431
263,122848.95473576231
264,122848.44671333143
265,122847.9390843679
266,122847.43194683848
267,122846.92539704003
268,122846.4195292768
269,122845.91443551208
270,122845.41020500568
271,122844.90692393224
272,122844.40467498839
273,122843.90353699971
274,122843.403584522
275,122842.90488742763
276,122842.4075104893
277,122841.91151296483
278,122841.41694819591
279,122840.92386323903
280,122840.43229854069
281,122839.94228766696
282,122839.4538571268
283,122838.96702631468
284,122838.48180761475
285,122837.9982067093
286,122837.51622313858
287,122837.03585116708
288,122836.55708101025
289,122836.07990045391
290,122835.60429689764
291,122835.13025982607
292,122834.65778368113
293,122834.1868710699
294,122833.71753618293
295,122833.24980825359
296,122832.78373483641
297,122832.3193846462
298,122831.85684967574
299,122831.39624632683
300,122830.93771534109
301,122830.48142039408
302,122830.02754533994
303,122829.57629022452
304,122829.12786630944
305,122828.68249044892
306,122828.24037922532
307,122827.8017432807
308,122827.36678221611
309,122826.93568037245
310,122826.50860367111
311,122826.08569758637
312,122825.66708622631
313,122825.25287239037
314,122824.84313843676
315,122824.43794774245
316,122824.03734655451
317,122823.64136604645
318,122823.25002442642
319,122822.86332897645
320,122822.48127794315
321,122822.10386223426
322,122821.73106689147
323,122821.36287232899
324,122820.99925535404
325,122820.64018999545
326,122820.2856481646
327,122819.93560016983
328,122819.59001510803
329,122819.24886116332
330,122818.9121058303
331,122818.57971607847
332,122818.25165846963
333,122817.92789924446
334,122817.60840438095
335,122817.2931396339
336,122816.98207056234
337,122816.67516254426
338,122816.37238078658
339,122816.07369032747
340,122815.77905603872
341,122815.48844262445
342,122815.20181461931
343,122814.91913638498
344,122814.64037210427
345,122814.36548578284
346,122814.09444125225
347,122813.82720217685
348,122813.563732061
349,122813.30399425585
350,122813.0479519697
351,122812.7955682796
352,122812.546806143
353,122812.30162841016
354,122812.05999783853
