epoch,loss
0,114484190.45765439
1,7258834.4755255515
2,600555.7683694318
3,194839.373849011
4,170472.8744517113
5,164222.74886960848
6,158251.79644731348
7,154717.5593498862
8,151910.6261622046
9,149080.03367686464
10,145310.76907802554
11,139387.34422726918
12,130940.27268849738
13,121682.05723810465
14,114678.8532835112
15,110232.99688966725
16,107057.20681954993
17,104646.01977736664
18,102433.72580221144
19,100151.63683640886
20,98778.09709363345
21,97251.7491712468
22,96054.763549722
23,95093.58555189554
24,94226.80421002484
25,93257.01936236082
26,91995.70401986288
27,91211.51868509977
28,90514.15531865736
29,89825.87634131787
30,89148.67765397148
31,88510.04654443626
32,87928.12218250417
33,87400.14183985422
34,86919.30597829213
35,86481.82119235543
36,86086.19292048551
37,85731.0988823989
38,85413.87023785413
39,85130.8102906928
40,84878.08427181272
41,84652.03258008952
42,84449.20182972777
43,84266.41980740076
44,84100.74987564
45,83949.43217761746
46,83809.90800431598
47,83679.88006038562
48,83557.38082408937
49,83440.85959281347
50,83329.23803162511
51,83221.84211279517
52,83118.38342233296
53,83019.04553612195
54,82924.42686167853
55,82835.30572505054
56,82752.36460692878
57,82675.99391906224
58,82606.22480394409
59,82542.71447581102
60,82484.81360514807
61,82431.67842339662
62,82382.37548694776
63,82336.08719612053
64,82292.35890789177
65,82251.0400529485
66,82211.95660146385
67,82174.84264265475
68,82139.4784015987
69,82105.7059687265
70,82073.36804484158
71,82042.30736042776
72,82012.3821164337
73,81983.44212309647
74,81955.29646129382
75,81927.70687310767
76,81900.4104523063
77,81873.14412162476
78,81845.660093629
79,81817.73413938198
80,81789.18047307807
81,81759.85618306047
82,81729.64233626974
83,81698.44514055294
84,81666.21970746803
85,81633.00211831981
86,81598.90698333114
87,81564.11324784269
88,81528.83400649697
89,81493.15436041562
90,81456.97037984157
91,81420.81675241789
92,81385.13073541239
93,81349.9274401694
94,81315.21229161993
95,81281.50032612828
96,81249.62126252623
97,81219.15295514444
98,81188.73227244482
99,81159.19835064543
100,81131.40528006083
101,81105.15521402896
102,81080.1994284253
103,81056.2941682649
104,81032.68616060533
105,81009.44213265587
106,80986.94846878473
107,80964.70365937997
108,80941.98041125324
109,80918.00448523399
110,80892.59365184185
111,80866.52132963725
112,80840.22577166285
113,80813.9450573561
114,80787.91073615625
115,80761.96606463144
116,80735.87073622474
117,80709.54822211013
118,80683.06733229553
119,80656.52433263283
120,80630.00291008435
121,80603.59396644108
122,80577.43946801094
123,80551.7312253432
124,80526.65301706719
125,80502.35490807222
126,80478.82181079303
127,80455.984377422
128,80434.18647731727
129,80413.84495148255
130,80394.98130922814
131,80377.3303823435
132,80360.53040070928
133,80344.53902011344
134,80329.602946831
135,80315.79267919026
136,80303.03961956373
137,80291.2332058822
138,80280.22640403037
139,80269.85612177559
140,80260.00249731269
141,80250.61424244518
142,80241.6710487112
143,80233.08990028355
144,80224.85236253751
145,80217.03596778079
146,80209.6075196728
147,80202.45422381522
148,80195.46662129097
149,80188.62279235899
150,80181.96980648767
151,80175.50810556149
152,80169.21338242397
153,80163.06195403328
154,80157.0382929837
155,80151.12540412734
156,80145.29622244992
157,80139.51466853377
158,80133.72869106212
159,80127.8723443009
160,80121.92524958192
161,80115.94776896255
162,80109.93560473468
163,80103.79333061428
