epoch,loss
0,372490766.90237874
1,23336979.540258285
2,1593648.8901951688
3,254162.03293588595
4,174403.00788994294
5,167023.7564176243
6,160254.65881813434
7,156009.77294216258
8,152937.0962928192
9,149701.6145446089
10,144548.39612965466
11,135627.2408825381
12,126673.36315760345
13,117199.59766459868
14,112327.98178274144
15,106292.79194380305
16,102634.24631860328
17,99489.47790634137
18,97028.7460073493
19,93431.70546762938
20,91299.97700757392
21,89845.29995161858
22,88350.4909878924
23,87154.06697793184
24,86157.6882648794
25,85337.26905541771
26,84660.20863996136
27,84076.20234412682
28,83567.32003796677
29,83121.99618457055
30,82718.06150248826
31,82337.08039425433
32,81964.44296508736
33,81601.46018808881
34,81264.18511922183
35,80955.34453909242
36,80671.0668736515
37,80408.72597518294
38,80165.94643843031
39,79940.14760224242
40,79728.69622866416
41,79529.13645844265
42,79339.31806338728
43,79157.46381209299
44,78982.2642791121
45,78812.87205279431
46,78648.76395565893
47,78489.63898503271
48,78335.43020566918
49,78186.2554891587
50,78042.44159087271
51,77904.40000545408
52,77772.50179004882
53,77647.1428076343
54,77528.69079656934
55,77417.20372585274
56,77312.33619931205
57,77213.39000582682
58,77119.4097345745
59,77029.61706014814
60,76943.83034205929
61,76862.18236485588
62,76784.69453635027
63,76711.20004821756
64,76641.45763909256
65,76575.29048979664
66,76512.56580177754
67,76453.08355280977
68,76396.54932535492
69,76342.64234691612
70,76291.0687146027
71,76241.57532897992
72,76193.96854267783
73,76148.13657884415
74,76104.02584996902
75,76061.57227555907
76,76020.66843487212
77,75981.18660514255
78,75943.0088072009
79,75906.03979705082
80,75870.19584928636
81,75835.38350667177
82,75801.50187683347
83,75768.45276777571
84,75736.15312642188
85,75704.55062616062
86,75673.61095736812
87,75643.28186750514
88,75613.48775850023
89,75584.14635007932
90,75555.17566002399
91,75526.49068819264
92,75498.00822064605
93,75469.6631811707
94,75441.41482924079
95,75413.23663711226
96,75385.10903423245
97,75357.01766492047
98,75328.9555525935
99,75300.9505125444
100,75273.07306654709
101,75245.39961146672
102,75217.98964630696
103,75190.88708635748
104,75164.13375714705
105,75137.77568420339
106,75111.85799930348
107,75086.4129893017
108,75061.45425816356
109,75036.98793546007
110,75013.0287011641
111,74989.60017397354
112,74966.72015119132
113,74944.38994041282
114,74922.59860755791
115,74901.33174878726
116,74880.57842169062
117,74860.33608758685
118,74840.60949568631
119,74821.40389076404
120,74802.71906052507
121,74784.54970243579
122,74766.88826645681
123,74749.72456804376
124,74733.04294371352
125,74716.82186499475
126,74701.0375334116
127,74685.6678571469
128,74670.69253862307
129,74656.08891276758
130,74641.82783575243
131,74627.87457480414
132,74614.19570555592
133,74600.76759200207
134,74587.57884209405
135,74574.62359122261
136,74561.89242963992
137,74549.36889718699
138,74537.03023955674
139,74524.84829011638
140,74512.79444959029
141,74500.85682562202
142,74489.05986571663
143,74477.45256041689
144,74466.06740586933
145,74454.90292585726
146,74443.94122442509
147,74433.16848019711
148,74422.57901290653
149,74412.16912548608
150,74401.9405477281
151,74391.91017448237
152,74382.10070153855
153,74372.51987638457
154,74363.15599409172
155,74353.98598541791
156,74344.98432210088
157,74336.13178866764
158,74327.42258362313
159,74318.86380874447
160,74310.46598652877
161,74302.23313058719
162,74294.16023974343
163,74286.23679092062
164,74278.45134576215
165,74270.79501449826
166,74263.26360254739
167,74255.85858295755
168,74248.58661152126
169,74241.45693174913
170,74234.47736370629
171,74227.65077070393
172,74220.97389149856
173,74214.43887370435
174,74208.0357041072
175,74201.75405069676
176,74195.58489328325
177,74189.52244433868
178,74183.56494893345
179,74177.71268094218
180,74171.96452542384
181,74166.31627024658
182,74160.76143236797
183,74155.29302107728
184,74149.90460733461
185,74144.5902083057
186,74139.343418585
187,74134.15654617439
188,74129.02030595695
189,74123.92427530141
190,74118.8581720684
191,74113.81397283863
192,74108.78858682541
193,74103.78592440575
194,74098.81660482331
195,74093.8949808928
196,74089.03536443149
197,74084.24932522353
198,74079.5445530156
199,74074.92497329492
200,74070.39156214663
201,74065.94328780219
202,74061.57780942139
203,74057.29183241096
204,74053.08123149848
205,74048.94115043053
206,74044.8662215484
207,74040.85089574518
208,74036.88979614906
209,74032.97805187196
210,74029.11161087913
211,74025.28751501862
212,74021.5040868023
213,74017.76095345676
214,74014.05886715025
215,74010.39941509262
216,74006.78472052544
217,74003.21687920726
218,73999.69687382464
219,73996.22357359559
220,73992.79357003879
221,73989.40167090642
222,73986.04188718974
223,73982.70983626126
224,73979.40658639435
225,73976.1404099107
226,73972.92255094279
227,73969.75971397219
228,73966.65045267214
229,73963.58743576992
230,73960.56182320853
231,73957.56650083077
232,73954.59742223682
233,73951.65339225646
234,73948.73490461106
235,73945.84284531386
236,73942.97770592023
237,73940.13940056537
238,73937.32739376368
239,73934.54085717662
240,73931.77875779118
241,73929.03995022323
242,73926.32345881464
243,73923.62906081717
244,73920.95781635235
245,73918.31178960437
246,73915.69302637457
247,73913.1028905253
248,73910.54204863847
249,73908.01047748812
250,73905.50738005496
251,73903.03122284143
252,73900.57988004286
253,73898.15083166161
254,73895.74142138385
255,73893.34917457284
256,73890.97213073008
257,73888.60911183857
258,73886.25984440956
259,73883.92482360445
260,73881.60486016166
261,73879.30052964189
262,73877.01188597314
263,73874.73853218433
264,73872.47992028094
265,73870.23569847709
266,73868.00602828289
267,73865.79177583312
268,73863.59435320209
269,73861.41512994542
270,73859.25470895182
271,73857.11253325926
272,73854.98702243506
273,73852.87608552071
274,73850.77776326697
275,73848.69081044543
276,73846.61503369318
277,73844.55120689569
278,73842.50059718979
279,73840.46439139034
280,73838.44335680884
281,73836.43781524447
282,73834.44778995265
283,73832.47319004046
284,73830.51395738461
285,73828.57016435164
286,73826.64207859586
287,73824.73020517804
288,73822.83529416393
289,73820.95828351515
290,73819.10015200428
291,73817.26169740972
292,73815.44331460257
293,73813.64488305029
294,73811.86586732572
295,73810.10565453343
296,73808.36399198184
297,73806.64126337347
298,73804.93838074582
299,73803.25632010384
300,73801.59558783604
301,73799.95590928987
302,73798.33622562002
303,73796.73490069584
304,73795.1499882386
305,73793.5794520882
306,73792.02129799737
307,73790.4736255708
308,73788.9346303416
309,73787.40258403184
310,73785.87581279063
311,73784.35268369244
312,73782.83160107773
313,73781.31101282785
314,73779.78943073319
315,73778.26546802407
316,73776.73789060151
317,73775.2056736349
318,73773.66804871912
319,73772.12451755205
320,73770.57480369626
321,73769.01872005702
322,73767.45595135613
323,73765.88578829943
324,73764.30688090324
325,73762.71707057988
326,73761.1133176347
327,73759.49170120753
328,73757.84745483425
329,73756.17498839705
330,73754.46787114424
331,73752.71875224142
332,73750.9191981936
333,73749.05944158809
334,73747.12804470322
335,73745.11147010229
336,73742.99358374462
337,73740.755106025
338,73738.3729768137
339,73735.81957522046
340,73733.06190724934
341,73730.06088409986
