epoch,loss
0,79375869.05248457
1,5074165.726889609
2,466374.6406758448
3,186917.3103509153
4,169633.60224657864
5,163166.9915359647
6,157569.65569340752
7,154094.2476347749
8,150888.73256568704
9,146644.41556028192
10,140137.45878412592
11,132639.99180832223
12,127519.78705669595
13,123268.93569470033
14,119656.88640298507
15,115574.47681787264
16,110758.54679540922
17,107790.99056230487
18,105589.46511069582
19,102924.01740606873
20,100486.63243548974
21,98673.96333990102
22,97167.2201307156
23,95896.2193209543
24,94841.22261144176
25,93961.25506558233
26,93218.50100813677
27,92584.18948295958
28,92036.1371352886
29,91558.70612408374
30,91142.53409105158
31,90780.59416013466
32,90464.1807684153
33,90182.17889697693
34,89921.72520890649
35,89670.88694060665
36,89429.05195142009
37,89204.3243953945
38,88994.46476292878
39,88793.26753424684
40,88597.53779823065
41,88405.50067577427
42,88215.10880690858
43,88024.37592961788
44,87831.87282962952
45,87637.4278069144
46,87442.30095434381
47,87248.63243985402
48,87058.87904854311
49,86875.45478690274
50,86700.52410167185
51,86535.77445865408
52,86382.20544039499
53,86240.25596911578
54,86110.00330768093
55,85991.1499325484
56,85883.03976564662
57,85784.75263865675
58,85695.30001184046
59,85613.75899471859
60,85539.14295966904
61,85470.39106622229
62,85406.55526280955
63,85346.91835385896
64,85290.8601527456
65,85237.76856625573
66,85187.1035012079
67,85138.39861705119
68,85091.30104402271
69,85045.61076971971
70,85001.02435063872
71,84957.12560788155
72,84913.41284073693
73,84869.15778349355
74,84823.93889220082
75,84778.34893546985
76,84733.47506385778
77,84689.80114840457
78,84647.48315779617
79,84606.67910669977
80,84567.55645383369
81,84530.17855310366
82,84494.81170902005
83,84461.7632037876
84,84431.03605419512
85,84402.46041432885
86,84375.83778808698
87,84350.96946593211
88,84327.65771624897
89,84305.71039784874
90,84284.94804440509
91,84265.2078157988
92,84246.3415051847
93,84228.21027082817
94,84210.6774311926
95,84193.61964376541
96,84176.8994777289
97,84160.30864157696
98,84143.61532272464
99,84126.60390933332
100,84109.10515487325
101,84091.08362474894
102,84072.53711909971
103,84053.36708627285
104,84033.4306811854
105,84012.61104654724
106,83990.84259043871
107,83968.10958249979
108,83944.4646119236
109,83920.05155097158
110,83895.12296816208
111,83870.03071258724
112,83845.18684635678
113,83821.00043257447
114,83797.82085301909
115,83775.90986336544
116,83755.43418718525
117,83736.47327006877
118,83719.03279474885
119,83703.05638581079
120,83688.4402085639
121,83675.05363787724
122,83662.75851530719
123,83651.42190212445
124,83640.92271671235
125,83631.15409096585
126,83622.02282524048
127,83613.4469553847
128,83605.35436549755
129,83597.68325621105
130,83590.3810384128
131,83583.40430338903
132,83576.72193882082
133,83570.31120243775
134,83564.15108183795
135,83558.21890961737
136,83552.49156384348
137,83546.94855774277
138,83541.57234761024
139,83536.3465495936
140,83531.25442086539
141,83526.27989844387
142,83521.4106206883
143,83516.6373299707
144,83511.95099607656
145,83507.34217016556
146,83502.80210010038
147,83498.32499147028
148,83493.90953500473
149,83489.55830550681
150,83485.2759394823
151,83481.06716562694
152,83476.93573558085
153,83472.88469475658
154,83468.91772068711
155,83465.03997328233
156,83461.25559778918
157,83457.56452309804
158,83453.96256597551
159,83450.44349972591
160,83447.00088979048
161,83443.62918759335
162,83440.32414602343
163,83437.08267323404
164,83433.9023347294
165,83430.78083463092
166,83427.71575565114
167,83424.704583776
168,83421.74484310012
169,83418.83419368483
170,83415.97045936467
171,83413.15158690477
172,83410.37554525473
173,83407.6402083444
174,83404.94335386663
175,83402.28302897097
176,83399.65827555595
177,83397.06926436839
178,83394.51605064484
179,83391.9973839965
180,83389.51098984703
181,83387.05459958487
182,83384.62675531009
183,83382.22717233271
184,83379.8566659741
185,83377.51662509618
186,83375.2081988795
187,83372.93154308366
188,83370.68536180392
189,83368.46669899471
190,83366.27072676834
191,83364.09027471725
192,83361.91509316646
193,83359.73138584128
194,83357.52293432136
195,83355.27575874593
196,83352.98744820453
197,83350.6772249964
198,83348.38492571899
199,83346.15260638446
200,83344.00406293952
201,83341.94072755156
202,83339.95124266489
203,83338.02163748596
204,83336.14020867228
205,83334.29840301635
206,83332.49020939798
207,83330.71138658203
208,83328.95888780654
209,83327.23047734486
210,83325.52447418182
211,83323.83959508265
212,83322.17490879146
213,83320.52986903596
214,83318.90427820211
215,83317.29806039097
216,83315.71098274134
217,83314.14255772365
218,83312.59212425305
219,83311.05895483434
220,83309.54231039157
221,83308.04146880418
222,83306.5557863417
223,83305.08480751369
224,83303.62833609902
225,83302.18635814133
226,83300.75888825042
227,83299.3459003642
228,83297.9473016568
229,83296.56284762823
230,83295.19208260179
231,83293.83439310265
232,83292.4891126468
233,83291.15559885357
234,83289.83326941566
235,83288.5216195658
236,83287.22024329328
237,83285.92886194304
238,83284.64734444894
239,83283.37569745064
240,83282.11401854017
241,83280.86243373518
242,83279.62105607713
243,83278.38998857078
244,83277.16936391716
245,83275.95939244874
246,83274.76038962574
247,83273.57276877828
248,83272.39700334928
249,83271.23357645149
250,83270.0829337276
251,83268.94544348611
252,83267.8213706662
253,83266.7108774192
254,83265.61404749214
255,83264.53091787566
256,83263.46150573304
257,83262.40582623679
258,83261.3638981448
259,83260.3357336991
260,83259.32131431488
261,83258.32056211439
262,83257.33332066338
263,83256.35935181526
264,83255.39834583482
265,83254.44993718766
266,83253.5137197365
267,83252.58925932593
268,83251.67610637587
269,83250.77381386205
270,83249.8819637751
271,83249.00019680905
272,83248.12822979358
273,83247.26584547966
274,83246.41285804739
275,83245.56907797474
276,83244.73429796474
277,83243.90830362673
278,83243.09089693158
279,83242.28191431852
280,83241.48122717983
281,83240.68872679114
282,83239.90430498551
283,83239.12783920325
284,83238.35918431639
285,83237.59817073059
286,83236.84460749499
287,83236.09828881858
288,83235.35900235728
289,83234.62653764179
290,83233.90069256032
291,83233.18127516998
292,83232.46809858948
293,83231.76096945087
294,83231.05967419765
295,83230.36396939689
296,83229.67358060343
297,83228.9882109143
298,83228.30755750921
299,83227.63133209174
300,83226.95927797657
301,83226.29117414478
302,83225.6268203239
303,83224.96600866663
304,83224.30849798389
305,83223.65400454278
306,83223.00221137283
307,83222.35278823641
308,83221.70541321632
309,83221.05979043992
310,83220.4156616598
311,83219.77281109123
312,83219.13106407064
313,83218.49028069485
314,83217.85034497156
315,83217.2111496964
316,83216.57257958362
317,83215.93449858416
318,83215.29674716563
319,83214.65915060823
320,83214.02153443951
321,83213.38374164018
322,83212.7456476996
323,83212.10717157251
324,83211.46828231345
325,83210.82900278304
326,83210.18941296055
327,83209.54965564268
328,83208.90994531495
329,83208.27057680592
330,83207.63192704183
331,83206.99444476783
332,83206.35862933444
333,83205.7250049813
334,83205.09409673016
335,83204.46641007178
336,83203.8424142541
337,83203.22252927299
338,83202.60711723946
339,83201.99647816541
340,83201.39084911835
341,83200.79040533333
342,83200.19526238943
343,83199.60547950803
344,83199.02106489893
345,83198.44198439867
346,83197.86817393987
347,83197.29955420569
348,83196.73604264283
